No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
34131,2013,11,23,2,,-5,-1.0,1021.0,NW,0.89,0,0
41673,2014,10,3,8,57.0,11,14.0,1019.0,NW,4.47,0,0
15200,2011,9,26,7,247.0,13,14.0,1019.0,NE,2.67,0,0
41102,2014,9,9,13,43.0,13,28.0,1010.0,SE,3.58,0,0
35074,2014,1,1,9,33.0,-18,7.0,1014.0,NW,26.82,0,0
11203,2011,4,12,18,88.0,-4,23.0,1009.0,SE,33.97,0,0
39777,2014,7,16,8,130.0,21,26.0,1004.0,SE,1.79,0,0
2704,2010,4,23,15,10.0,-12,21.0,1018.0,NW,12.96,0,0
43656,2014,12,24,23,18.0,-14,2.0,1034.0,NW,70.63,0,0
22140,2012,7,11,11,95.0,22,27.0,994.0,cv,0.89,0,0
27750,2013,3,2,5,10.0,-16,-3.0,1036.0,NW,4.92,0,0
40008,2014,7,25,23,69.0,16,26.0,1007.0,SE,37.11,0,0
4204,2010,6,25,3,214.0,15,21.0,1009.0,SE,7.16,0,0
21247,2012,6,4,6,146.0,17,17.0,1006.0,SE,0.89,0,0
16107,2011,11,3,2,27.0,7,11.0,1028.0,cv,1.78,0,0
8375,2010,12,15,22,54.0,-24,-4.0,1027.0,NW,5.81,0,0
40638,2014,8,21,5,133.0,20,23.0,1007.0,cv,0.89,0,0
773,2010,2,2,4,104.0,-12,-10.0,1028.0,cv,0.89,0,0
32314,2013,9,8,9,50.0,15,21.0,1018.0,cv,0.89,0,0
33462,2013,10,26,5,36.0,-3,2.0,1024.0,NW,21.46,0,0
6117,2010,9,12,20,132.0,15,25.0,1010.0,SE,17.44,0,0
6905,2010,10,15,16,46.0,0,20.0,1011.0,SE,33.08,0,0
34543,2013,12,10,6,38.0,-12,-4.0,1019.0,NW,7.6,0,0
41271,2014,9,16,14,45.0,12,21.0,1018.0,cv,1.78,0,0
20475,2012,5,3,2,139.0,12,16.0,1008.0,NW,1.78,0,0
19979,2012,4,12,10,40.0,-9,21.0,1010.0,NW,50.52,0,0
36782,2014,3,13,13,16.0,-25,12.0,1020.0,cv,4.92,0,0
25514,2012,11,29,1,45.0,-10,-6.0,1024.0,NE,3.58,0,0
1130,2010,2,17,1,237.0,-13,-5.0,1025.0,cv,1.78,0,0
31210,2013,7,24,9,51.0,19,30.0,1001.0,cv,0.89,0,0
38354,2014,5,18,1,58.0,7,18.0,1011.0,SE,55.87,0,0
11514,2011,4,25,17,97.0,5,17.0,1001.0,SE,28.17,0,0
15234,2011,9,27,17,140.0,12,24.0,1015.0,SE,12.96,0,0
36506,2014,3,2,1,133.0,-6,1.0,1022.0,SE,30.39,0,0
37758,2014,4,23,5,99.0,10,15.0,1011.0,SE,67.95,0,0
17589,2012,1,3,20,11.0,-20,-4.0,1034.0,NW,307.56,0,0
13970,2011,8,6,1,112.0,22,24.0,1006.0,SE,46.95,0,0
28534,2013,4,3,21,32.0,-4,10.0,1015.0,SE,61.69,0,0
15208,2011,9,26,15,108.0,9,27.0,1016.0,SE,16.54,0,0
17312,2011,12,23,7,76.0,-15,-10.0,1027.0,NE,1.79,0,0
42404,2014,11,2,19,10.0,-11,12.0,1022.0,NW,234.67,0,0
35357,2014,1,13,4,97.0,-20,-11.0,1033.0,NW,3.58,0,0
30172,2013,6,11,3,48.0,16,18.0,1009.0,NE,1.79,0,0
38051,2014,5,5,10,39.0,-10,16.0,1020.0,NE,3.13,0,0
4628,2010,7,12,19,211.0,21,24.0,1006.0,cv,0.89,0,0
27835,2013,3,5,18,208.0,-7,8.0,1013.0,cv,0.45,0,0
36349,2014,2,23,12,270.0,-6,2.0,1031.0,cv,1.78,0,0
31074,2013,7,18,17,137.0,23,27.0,1003.0,SE,39.32,0,0
41610,2014,9,30,17,20.0,1,15.0,1023.0,SE,4.92,0,0
32784,2013,9,27,23,250.0,11,16.0,1011.0,SE,3.13,0,0
25806,2012,12,11,5,107.0,-12,-10.0,1032.0,NE,0.89,0,0
42354,2014,10,31,17,165.0,10,14.0,1018.0,cv,0.89,0,0
34715,2013,12,17,10,26.0,-19,0.0,1034.0,NE,23.69,0,0
8609,2010,12,25,16,20.0,-22,-4.0,1023.0,NE,8.94,0,0
23837,2012,9,20,4,116.0,14,15.0,1013.0,NW,1.79,0,0
14437,2011,8,25,12,80.0,21,27.0,1015.0,SE,14.31,0,0
20076,2012,4,16,11,22.0,-11,20.0,1020.0,cv,0.89,0,0
1264,2010,2,22,15,79.0,-10,5.0,1017.0,SE,42.47,0,0
2065,2010,3,28,0,41.0,-8,2.0,1028.0,SE,30.4,0,0
2123,2010,3,30,10,,6,10.0,1018.0,SE,20.57,0,0
15182,2011,9,25,13,280.0,15,25.0,1016.0,SE,4.92,0,0
41347,2014,9,19,18,53.0,15,23.0,1010.0,NE,3.13,0,0
10477,2011,3,13,12,42.0,-5,18.0,1012.0,NW,25.48,0,0
17950,2012,1,18,21,450.0,-8,-4.0,1027.0,SE,4.45,0,0
810,2010,2,3,17,34.0,-21,1.0,1026.0,NW,54.08,0,0
20241,2012,4,23,8,230.0,13,17.0,1004.0,SE,13.42,0,0
9703,2011,2,9,6,199.0,-8,-7.0,1026.0,cv,0.89,0,0
36567,2014,3,4,14,13.0,-26,9.0,1025.0,NW,49.17,0,0
8878,2011,1,5,21,17.0,-19,-5.0,1035.0,NW,259.7,0,0
27472,2013,2,18,15,31.0,-19,4.0,1025.0,SE,7.15,0,0
17910,2012,1,17,5,,-8,-3.0,1022.0,NW,0.89,0,0
18782,2012,2,22,13,203.0,-3,2.0,1012.0,cv,1.79,0,0
3398,2010,5,22,13,167.0,10,29.0,1005.0,cv,3.13,0,0
41916,2014,10,13,11,8.0,-8,15.0,1029.0,NW,17.87,0,0
41503,2014,9,26,6,107.0,16,17.0,1011.0,SE,7.6,0,0
36804,2014,3,14,11,7.0,-23,12.0,1021.0,NW,72.87,0,0
11346,2011,4,18,17,10.0,-10,20.0,1015.0,NE,10.28,0,0
24526,2012,10,18,21,102.0,7,10.0,1018.0,SE,0.89,0,0
22063,2012,7,8,6,177.0,23,25.0,1002.0,cv,1.78,0,0
3150,2010,5,12,5,33.0,6,10.0,1019.0,SE,0.89,0,0
39775,2014,7,16,6,85.0,21,24.0,1004.0,cv,0.89,0,0
38824,2014,6,6,15,6.0,17,19.0,1005.0,NW,29.06,0,4
22588,2012,7,30,3,,21,22.0,1002.0,NW,9.84,0,0
41184,2014,9,12,23,51.0,17,20.0,1015.0,cv,0.89,0,0
9816,2011,2,13,23,13.0,-15,-5.0,1033.0,NW,12.07,0,0
27547,2013,2,21,18,271.0,-4,1.0,1025.0,SE,7.16,0,0
4312,2010,6,29,15,170.0,19,32.0,1002.0,SE,12.52,0,0
873,2010,2,6,8,64.0,-13,-7.0,1033.0,cv,0.89,0,0
28539,2013,4,4,2,47.0,-4,9.0,1015.0,SE,73.32,0,0
36548,2014,3,3,19,237.0,-6,3.0,1021.0,NW,11.18,0,0
9238,2011,1,20,21,82.0,-20,-7.0,1028.0,cv,2.68,0,0
21170,2012,6,1,1,51.0,15,16.0,1015.0,NW,5.81,0,0
19735,2012,4,2,6,28.0,-6,6.0,1013.0,SE,0.89,0,0
2829,2010,4,28,20,16.0,-8,12.0,1013.0,NW,410.84,0,0
9413,2011,1,28,4,23.0,-21,-9.0,1040.0,NW,25.04,0,0
39146,2014,6,20,1,89.0,18,21.0,1007.0,SE,4.92,0,1
33465,2013,10,26,8,40.0,-1,7.0,1025.0,NW,31.74,0,0
12465,2011,6,4,8,,7,25.0,1008.0,NW,1.79,0,0
26336,2013,1,2,7,15.0,-28,-13.0,1036.0,NW,185.09,0,0
38430,2014,5,21,5,85.0,12,16.0,1006.0,NE,0.89,0,0
17965,2012,1,19,12,373.0,-7,0.0,1028.0,cv,0.89,0,0
15335,2011,10,1,22,51.0,-3,14.0,1028.0,NE,8.94,0,0
41734,2014,10,5,21,27.0,6,10.0,1026.0,NE,1.79,0,0
33242,2013,10,17,1,181.0,2,7.0,1025.0,NE,0.89,0,0
2144,2010,3,31,7,124.0,6,8.0,1014.0,NW,1.79,0,0
19857,2012,4,7,8,53.0,-8,8.0,1020.0,NW,6.26,0,0
6155,2010,9,14,10,179.0,17,28.0,1015.0,NW,16.1,0,0
4839,2010,7,21,14,47.0,21,32.0,1006.0,SE,8.05,0,0
28978,2013,4,22,9,165.0,6,12.0,1016.0,SE,11.63,0,0
2681,2010,4,22,16,34.0,5,11.0,1020.0,cv,0.89,0,3
11308,2011,4,17,3,41.0,-1,18.0,1007.0,NW,11.62,0,0
11599,2011,4,29,6,,10,13.0,997.0,cv,1.78,0,0
3697,2010,6,4,0,79.0,14,19.0,1017.0,SE,25.93,0,0
20742,2012,5,14,5,69.0,8,9.0,1009.0,cv,3.56,0,0
16939,2011,12,7,18,16.0,-13,1.0,1034.0,NW,75.11,0,0
32015,2013,8,26,22,55.0,19,24.0,1007.0,SE,46.5,0,0
16282,2011,11,10,9,44.0,-4,10.0,1021.0,NW,23.25,0,0
24894,2012,11,3,5,194.0,7,7.0,1020.0,NE,0.89,0,0
17609,2012,1,4,16,21.0,-22,1.0,1032.0,NW,50.96,0,0
26110,2012,12,23,21,,-20,-13.0,1032.0,cv,2.67,0,0
25081,2012,11,11,0,10.0,-6,4.0,1016.0,NW,63.92,0,0
13952,2011,8,5,7,190.0,23,25.0,1007.0,SE,12.52,0,0
25251,2012,11,18,2,180.0,-3,-1.0,1020.0,cv,0.89,0,0
9577,2011,2,4,0,299.0,-15,-6.0,1019.0,NE,0.89,0,0
20609,2012,5,8,16,73.0,4,31.0,1006.0,SE,1.79,0,0
40692,2014,8,23,11,134.0,21,29.0,1006.0,cv,5.35,0,0
2405,2010,4,11,4,54.0,-3,6.0,1017.0,SE,75.98,0,0
37719,2014,4,21,14,24.0,-2,25.0,1015.0,SE,4.92,0,0
40630,2014,8,20,21,,19,28.0,1007.0,SE,42.48,0,0
31866,2013,8,20,17,75.0,22,26.0,1007.0,NW,4.02,0,0
21194,2012,6,2,1,144.0,16,17.0,1012.0,SE,6.25,0,0
43345,2014,12,12,0,8.0,-17,-1.0,1030.0,NW,34.87,0,0
29680,2013,5,21,15,105.0,12,28.0,998.0,SE,13.86,0,0
20380,2012,4,29,3,190.0,2,9.0,1014.0,NE,1.79,0,0
13687,2011,7,25,6,31.0,23,24.0,999.0,SE,0.89,0,0
16541,2011,11,21,4,106.0,-6,-4.0,1031.0,NW,6.71,0,0
37443,2014,4,10,2,112.0,1,14.0,1021.0,SE,32.64,0,0
20541,2012,5,5,20,46.0,5,26.0,1006.0,SE,22.35,0,0
25285,2012,11,19,12,24.0,-12,8.0,1025.0,NE,4.02,0,0
23302,2012,8,28,21,118.0,23,26.0,1000.0,cv,0.89,0,0
35131,2014,1,3,18,43.0,-17,3.0,1023.0,cv,0.45,0,0
893,2010,2,7,4,71.0,-7,-6.0,1024.0,NW,0.89,10,0
23881,2012,9,22,0,50.0,15,19.0,1011.0,cv,0.89,0,0
29202,2013,5,1,17,35.0,-1,23.0,1011.0,SE,12.96,0,0
11388,2011,4,20,11,166.0,5,19.0,1010.0,SE,1.79,0,0
27913,2013,3,9,0,87.0,-4,2.0,1003.0,cv,0.89,0,0
7152,2010,10,25,23,11.0,-9,5.0,1037.0,NE,8.94,0,0
3200,2010,5,14,7,123.0,8,16.0,1017.0,SE,9.39,0,0
26471,2013,1,7,22,250.0,-14,-7.0,1027.0,cv,0.45,0,0
32195,2013,9,3,10,66.0,16,24.0,1018.0,cv,1.78,0,0
1762,2010,3,15,9,43.0,-13,1.0,1024.0,NW,33.96,0,0
37378,2014,4,7,9,92.0,1,16.0,1015.0,cv,1.78,0,0
6669,2010,10,5,20,133.0,14,16.0,1013.0,cv,1.78,0,0
38692,2014,6,1,3,52.0,17,21.0,1009.0,NW,7.15,0,0
21843,2012,6,29,2,109.0,21,21.0,1006.0,SE,1.79,0,5
13047,2011,6,28,14,202.0,20,32.0,1001.0,SE,3.13,0,0
41884,2014,10,12,3,9.0,8,13.0,1029.0,NE,3.13,0,4
8785,2011,1,2,0,36.0,-17,-7.0,1037.0,NW,75.1,0,0
21782,2012,6,26,13,118.0,21,25.0,1010.0,SE,13.42,0,0
41181,2014,9,12,20,57.0,17,22.0,1015.0,SE,12.08,0,0
3597,2010,5,30,20,30.0,15,21.0,1010.0,NW,7.6,0,0
41485,2014,9,25,12,148.0,17,20.0,1018.0,SE,3.58,0,0
27630,2013,2,25,5,200.0,-4,0.0,1027.0,cv,0.89,0,0
38272,2014,5,14,15,14.0,-1,22.0,1005.0,NW,223.51,0,0
10364,2011,3,8,19,15.0,-17,6.0,1023.0,NW,3.13,0,0
31873,2013,8,21,0,,21,24.0,1008.0,NE,1.79,0,1
22966,2012,8,14,21,33.0,15,20.0,1006.0,SE,49.62,0,0
39235,2014,6,23,18,24.0,14,30.0,1005.0,SE,3.13,0,0
5816,2010,8,31,7,112.0,19,21.0,1010.0,cv,0.89,0,0
28659,2013,4,9,2,8.0,-11,7.0,1015.0,NW,239.16,0,0
40399,2014,8,11,6,12.0,18,21.0,1005.0,NW,21.91,0,0
42016,2014,10,17,15,116.0,4,24.0,1014.0,SE,6.26,0,0
5658,2010,8,24,17,70.0,18,28.0,1013.0,SE,31.74,0,0
10249,2011,3,4,0,43.0,-13,3.0,1025.0,NW,6.26,0,0
181,2010,1,8,12,198.0,-16,-9.0,1028.0,SE,3.13,0,0
26651,2013,1,15,10,79.0,-7,-5.0,1027.0,SE,62.14,5,0
19293,2012,3,14,20,72.0,-11,6.0,1025.0,SE,29.94,0,0
35273,2014,1,9,16,27.0,-34,1.0,1029.0,NW,67.05,0,0
35546,2014,1,21,1,10.0,-20,-3.0,1034.0,NW,297.7,0,0
37474,2014,4,11,9,46.0,-1,13.0,1021.0,NE,3.58,0,0
23209,2012,8,25,0,90.0,16,21.0,1013.0,SE,8.05,0,0
33576,2013,10,30,23,136.0,1,5.0,1027.0,NE,0.89,0,0
35585,2014,1,22,16,,-21,5.0,1021.0,SE,1.79,0,0
41590,2014,9,29,21,21.0,5,14.0,1026.0,SE,8.05,0,0
9807,2011,2,13,14,86.0,-8,-3.0,1030.0,NW,1.79,0,0
34841,2013,12,22,16,130.0,-16,0.0,1030.0,SE,3.58,0,0
8540,2010,12,22,19,27.0,-20,3.0,1022.0,NE,8.94,0,0
36327,2014,2,22,14,357.0,-4,6.0,1029.0,SE,1.79,0,0
5512,2010,8,18,15,237.0,23,28.0,1010.0,SE,8.5,0,0
41099,2014,9,9,10,19.0,11,24.0,1011.0,SE,1.79,0,0
5261,2010,8,8,4,55.0,19,21.0,1005.0,cv,1.34,0,0
34064,2013,11,20,7,75.0,-11,-3.0,1023.0,NW,19.67,0,0
8791,2011,1,2,6,14.0,-18,-8.0,1036.0,NW,4.92,0,0
32554,2013,9,18,9,110.0,19,21.0,1021.0,NW,1.79,0,0
24821,2012,10,31,4,13.0,-7,4.0,1022.0,NW,1.79,0,0
2562,2010,4,17,17,161.0,5,11.0,1018.0,SE,103.26,0,0
6828,2010,10,12,11,31.0,5,16.0,1023.0,NW,7.16,0,0
25684,2012,12,6,3,28.0,-19,-8.0,1024.0,NW,3.13,0,0
17284,2011,12,22,3,14.0,-17,-3.0,1034.0,NW,15.2,0,0
22703,2012,8,3,22,31.0,23,25.0,1007.0,SE,31.74,0,0
39089,2014,6,17,16,132.0,20,26.0,1001.0,SE,13.42,0,1
20447,2012,5,1,22,78.0,9,19.0,1011.0,SE,46.95,0,0
40328,2014,8,8,7,79.0,19,23.0,1010.0,cv,0.89,0,0
40434,2014,8,12,17,24.0,13,31.0,1004.0,SE,6.71,0,0
24405,2012,10,13,20,51.0,6,11.0,1014.0,cv,40.05,0,0
39066,2014,6,16,17,111.0,19,30.0,1000.0,SE,11.17,0,0
35099,2014,1,2,10,108.0,-7,2.0,1021.0,NW,6.71,0,0
3737,2010,6,5,16,,12,30.0,1009.0,SE,8.04,0,0
5395,2010,8,13,18,157.0,25,29.0,1000.0,SE,16.09,0,0
32770,2013,9,27,9,127.0,9,15.0,1013.0,cv,0.89,0,0
43096,2014,12,1,15,9.0,-23,-1.0,1031.0,NW,343.33,0,0
25648,2012,12,4,15,125.0,-15,3.0,1019.0,cv,3.56,0,0
41022,2014,9,6,5,143.0,20,21.0,1012.0,SE,6.26,0,0
26440,2013,1,6,15,108.0,-19,-1.0,1025.0,SE,3.13,0,0
20189,2012,4,21,4,147.0,11,12.0,1013.0,SE,5.36,0,0
17790,2012,1,12,5,148.0,-16,-12.0,1028.0,NW,1.78,0,0
33561,2013,10,30,8,44.0,0,4.0,1030.0,NW,1.79,0,0
28967,2013,4,21,22,89.0,3,13.0,1016.0,SE,58.11,0,0
37768,2014,4,23,15,154.0,12,25.0,1008.0,SE,103.27,0,0
17898,2012,1,16,17,,-7,-2.0,1020.0,SE,0.89,0,0
27310,2013,2,11,21,113.0,-9,-4.0,1031.0,SE,0.89,0,0
36997,2014,3,22,12,37.0,-20,22.0,1017.0,NE,4.92,0,0
22190,2012,7,13,13,11.0,19,30.0,1004.0,cv,1.78,0,0
5355,2010,8,12,2,74.0,20,21.0,1003.0,cv,1.34,0,0
37663,2014,4,19,6,59.0,5,12.0,1022.0,SE,1.78,0,0
2494,2010,4,14,21,67.0,-3,10.0,1023.0,SE,28.61,0,0
24003,2012,9,27,2,90.0,13,13.0,1018.0,NW,0.89,0,0
29235,2013,5,3,2,82.0,9,12.0,1016.0,SE,1.79,0,2
16169,2011,11,5,16,35.0,3,12.0,1026.0,NE,7.15,0,0
32917,2013,10,3,12,96.0,6,19.0,1019.0,SE,11.17,0,0
11504,2011,4,25,7,93.0,2,12.0,1004.0,NE,1.79,0,0
26182,2012,12,26,21,,-16,-13.0,1033.0,NE,1.78,0,0
25476,2012,11,27,11,204.0,-6,2.0,1013.0,cv,3.56,0,0
29586,2013,5,17,17,,12,25.0,1009.0,SE,14.75,0,0
38285,2014,5,15,4,68.0,5,10.0,1001.0,cv,1.78,0,0
10683,2011,3,22,2,12.0,-24,2.0,1031.0,NW,173.88,0,0
5880,2010,9,2,23,249.0,20,22.0,1015.0,NW,0.89,0,0
29590,2013,5,17,21,,14,21.0,1010.0,SE,26.82,0,0
32154,2013,9,1,17,49.0,11,28.0,1011.0,SE,3.13,0,0
255,2010,1,11,14,15.0,-19,-5.0,1033.0,NW,59.01,0,0
31342,2013,7,29,21,59.0,19,29.0,999.0,SE,10.28,0,0
6015,2010,9,8,14,113.0,12,28.0,1014.0,SE,6.26,0,0
38835,2014,6,7,2,25.0,13,17.0,1005.0,NE,1.79,0,0
7777,2010,11,21,0,433.0,1,2.0,1009.0,NE,0.89,0,0
35621,2014,1,24,4,270.0,-12,-2.0,1015.0,NW,12.97,0,0
26164,2012,12,26,3,,-19,-14.0,1039.0,cv,0.45,0,0
40998,2014,9,5,5,76.0,16,18.0,1008.0,NE,1.79,0,0
1713,2010,3,13,8,69.0,-12,0.0,1029.0,SE,1.79,0,0
30705,2013,7,3,8,44.0,21,29.0,997.0,NE,1.79,0,0
7768,2010,11,20,15,207.0,-2,13.0,1009.0,cv,4.46,0,0
41182,2014,9,12,21,58.0,17,21.0,1015.0,SE,13.87,0,0
41782,2014,10,7,21,255.0,11,12.0,1019.0,NE,0.89,0,0
885,2010,2,6,20,189.0,-7,-4.0,1029.0,SE,37.1,2,0
15190,2011,9,25,21,289.0,16,17.0,1017.0,SE,2.67,0,0
24807,2012,10,30,14,37.0,-8,12.0,1020.0,SE,27.27,0,0
35509,2014,1,19,12,185.0,-7,1.0,1023.0,cv,0.89,0,0
29025,2013,4,24,8,125.0,8,13.0,1011.0,NW,15.65,0,0
7776,2010,11,20,23,438.0,0,3.0,1009.0,cv,3.58,0,0
6706,2010,10,7,9,384.0,14,16.0,1017.0,NE,1.79,0,0
12460,2011,6,4,3,48.0,10,19.0,1006.0,SE,0.89,0,0
17515,2011,12,31,18,209.0,-12,-2.0,1029.0,cv,1.79,0,0
25112,2012,11,12,7,14.0,-12,1.0,1020.0,NW,307.97,0,0
13803,2011,7,30,2,41.0,21,21.0,1004.0,NE,4.92,0,18
1777,2010,3,16,0,61.0,-10,-3.0,1026.0,NW,0.89,0,0
4352,2010,7,1,7,163.0,22,24.0,1001.0,cv,0.89,0,0
21436,2012,6,12,3,71.0,11,17.0,995.0,NE,1.79,0,0
12325,2011,5,29,12,116.0,17,27.0,1008.0,SE,1.79,0,0
12355,2011,5,30,18,28.0,9,27.0,999.0,SE,12.96,0,0
7801,2010,11,22,0,19.0,-11,1.0,1021.0,SE,1.79,0,0
9623,2011,2,5,22,174.0,-10,-4.0,1015.0,cv,1.78,0,0
9975,2011,2,20,14,477.0,-4,8.0,1026.0,SE,1.79,0,0
20688,2012,5,11,23,138.0,15,18.0,1012.0,cv,1.78,0,1
15001,2011,9,18,0,49.0,6,11.0,1024.0,NW,4.92,0,0
13786,2011,7,29,9,88.0,22,23.0,1007.0,NW,7.15,0,1
38705,2014,6,1,16,62.0,18,27.0,1006.0,SE,9.84,0,0
10658,2011,3,21,1,,-6,1.0,1022.0,NW,0.89,0,0
23590,2012,9,9,21,106.0,19,23.0,1015.0,SE,20.57,0,0
1610,2010,3,9,1,7.0,-16,-5.0,1042.0,NW,53.2,0,0
37066,2014,3,25,9,233.0,-1,15.0,1012.0,NW,14.75,0,0
36982,2014,3,21,21,54.0,-12,15.0,1016.0,SE,29.05,0,0
725,2010,1,31,4,20.0,-15,0.0,1022.0,NW,99.66,0,0
32575,2013,9,19,6,128.0,17,20.0,1014.0,NW,1.79,0,0
42633,2014,11,12,8,4.0,-19,4.0,1026.0,NW,202.97,0,0
40838,2014,8,29,13,62.0,18,26.0,1015.0,cv,3.57,0,0
14057,2011,8,9,16,201.0,25,34.0,1003.0,SE,8.05,0,0
6447,2010,9,26,14,,-1,24.0,1017.0,NW,16.09,0,0
22091,2012,7,9,10,110.0,24,25.0,1003.0,cv,3.56,0,0
6865,2010,10,14,0,41.0,9,15.0,1017.0,NW,8.94,0,0
40361,2014,8,9,16,54.0,16,31.0,1003.0,SE,18.33,0,0
42583,2014,11,10,6,33.0,-6,-1.0,1023.0,NW,8.95,0,0
13809,2011,7,30,8,27.0,21,23.0,1002.0,NW,8.04,0,0
27449,2013,2,17,16,12.0,-23,4.0,1020.0,NW,37.55,0,0
10394,2011,3,10,1,51.0,-11,0.0,1024.0,NW,1.79,0,0
2616,2010,4,19,23,152.0,8,11.0,1018.0,SE,35.76,0,0
17478,2011,12,30,5,71.0,-9,-5.0,1035.0,cv,0.89,0,0
8486,2010,12,20,13,91.0,-13,10.0,1016.0,cv,0.89,0,0
14449,2011,8,26,0,121.0,20,21.0,1016.0,NW,1.79,0,0
19381,2012,3,18,12,21.0,-5,3.0,1029.0,cv,0.89,0,0
39622,2014,7,9,21,29.0,14,30.0,1002.0,SE,12.07,0,0
4653,2010,7,13,20,110.0,20,26.0,1010.0,NW,25.93,0,0
30901,2013,7,11,12,43.0,21,26.0,1006.0,cv,1.79,0,0
37817,2014,4,25,16,90.0,7,26.0,1014.0,SE,11.17,0,0
25227,2012,11,17,2,28.0,-5,-1.0,1020.0,NW,59.89,0,0
37123,2014,3,27,18,95.0,1,15.0,1009.0,NW,3.13,0,0
7145,2010,10,25,16,6.0,-10,12.0,1028.0,NW,135.9,0,0
26714,2013,1,18,1,283.0,-13,-10.0,1032.0,SE,0.89,0,0
33039,2013,10,8,14,,6,22.0,1017.0,SE,13.41,0,0
21492,2012,6,14,11,6.0,13,26.0,1004.0,NW,3.13,0,0
34361,2013,12,2,16,93.0,-16,11.0,1017.0,SE,1.79,0,0
41658,2014,10,2,17,27.0,13,20.0,1012.0,SE,3.58,0,0
30022,2013,6,4,21,103.0,17,19.0,1013.0,NE,3.58,0,0
40336,2014,8,8,15,46.0,13,32.0,1007.0,SE,20.57,0,0
33342,2013,10,21,5,106.0,1,4.0,1023.0,NW,0.89,0,0
18329,2012,2,3,16,66.0,-26,4.0,1021.0,NW,33.97,0,0
15578,2011,10,12,1,212.0,12,14.0,1021.0,NE,0.89,0,0
33725,2013,11,6,4,263.0,-1,2.0,1017.0,NW,4.92,0,0
14635,2011,9,2,18,49.0,17,25.0,1008.0,SE,12.06,0,0
35704,2014,1,27,15,167.0,-12,7.0,1016.0,NW,30.86,0,0
2975,2010,5,4,22,142.0,16,19.0,1000.0,SE,39.78,0,1
38709,2014,6,1,20,59.0,17,20.0,1011.0,NW,4.02,0,3
25710,2012,12,7,5,51.0,-16,-11.0,1024.0,NW,27.71,0,0
17327,2011,12,23,22,16.0,-15,0.0,1027.0,NW,11.17,0,0
29282,2013,5,5,1,134.0,8,16.0,1016.0,SE,63.02,0,0
34877,2013,12,24,4,457.0,-15,-9.0,1036.0,NW,0.89,0,0
41187,2014,9,13,2,54.0,18,19.0,1015.0,NE,0.89,0,0
19339,2012,3,16,18,315.0,4,9.0,1010.0,SE,12.97,0,0
16471,2011,11,18,6,85.0,7,8.0,1015.0,NW,19.67,0,0
29903,2013,5,30,22,70.0,7,28.0,1003.0,SE,79.13,0,0
6640,2010,10,4,15,24.0,6,23.0,1016.0,SE,4.92,0,0
13775,2011,7,28,22,259.0,27,28.0,1006.0,SE,21.02,0,0
43086,2014,12,1,5,13.0,-22,-5.0,1031.0,NW,230.23,0,0
583,2010,1,25,6,,-21,-7.0,1033.0,NW,192.65,0,0
10602,2011,3,18,17,,-14,13.0,1013.0,NW,70.18,0,0
28870,2013,4,17,21,43.0,-8,12.0,1014.0,cv,0.89,0,0
6746,2010,10,9,1,290.0,12,13.0,1013.0,SE,3.57,0,0
20691,2012,5,12,2,143.0,13,16.0,1011.0,cv,0.89,0,4
40671,2014,8,22,14,56.0,19,28.0,1007.0,SE,4.92,0,0
43645,2014,12,24,12,12.0,-15,4.0,1034.0,NW,4.92,0,0
36665,2014,3,8,16,201.0,-8,10.0,1019.0,SE,9.84,0,0
5340,2010,8,11,11,223.0,23,26.0,1005.0,SE,23.71,0,0
8854,2011,1,4,21,53.0,-17,-2.0,1028.0,NW,51.41,0,0
27816,2013,3,4,23,78.0,-13,8.0,1022.0,SE,31.29,0,0
40867,2014,8,30,18,149.0,21,23.0,1012.0,SE,1.79,0,0
42672,2014,11,13,23,44.0,-9,2.0,1024.0,NW,1.79,0,0
14065,2011,8,10,0,,21,22.0,1008.0,NE,3.13,0,0
21155,2012,5,31,10,80.0,13,24.0,1018.0,cv,1.79,0,0
25917,2012,12,15,20,348.0,-2,-2.0,1026.0,cv,0.89,0,0
24347,2012,10,11,10,114.0,6,14.0,1018.0,SE,3.58,0,0
31380,2013,7,31,11,42.0,19,29.0,1000.0,SE,1.79,0,0
7625,2010,11,14,16,19.0,-8,0.0,1035.0,NW,202.12,0,0
4385,2010,7,2,16,13.0,12,37.0,998.0,cv,1.79,0,0
20698,2012,5,12,9,149.0,14,16.0,1012.0,cv,0.89,0,11
42437,2014,11,4,4,72.0,0,2.0,1016.0,cv,0.45,0,0
10950,2011,4,2,5,46.0,2,4.0,1031.0,NW,18.32,0,0
7062,2010,10,22,5,142.0,9,10.0,1021.0,NW,1.78,0,0
6781,2010,10,10,12,428.0,15,18.0,1011.0,SE,3.58,0,0
35719,2014,1,28,6,17.0,-21,-4.0,1029.0,NE,3.13,0,0
24610,2012,10,22,9,14.0,4,14.0,1017.0,NW,1.79,0,0
30975,2013,7,14,14,75.0,21,30.0,1007.0,cv,1.79,0,0
16278,2011,11,10,5,42.0,-4,0.0,1021.0,NW,9.84,0,0
25751,2012,12,8,22,13.0,-24,-7.0,1028.0,NW,249.42,0,0
18707,2012,2,19,10,87.0,-18,-1.0,1026.0,cv,0.89,0,0
1214,2010,2,20,13,185.0,-9,8.0,1012.0,SE,8.5,0,0
